text,label
negative comfortable bed clean room breakfast stayed paris decent price,1
bath cleaner loose boiler room room shabby 260 fluffy towels sumptuous sheets room view mews quiet,1
negative friendly staff excellent breakfast metro close clean,1
bed,0
clean big rooms comfy beds property full quiet excellent friendly helpful staff nice indoor pool restaurant hand bar nice definitely stay,1
room electrical problems due fun decorations features added room multitude light switches bathroom different function time lights jets bath tub work switch raise lower television footboard bed work properly raise lower different expect driving french made car staff friendly responsive provided helpful concierge service decorated enjoyed champagne theme clean location excellent close proximity metro transit restaurants tourist sites,1
recently stayed nights heavenly great lobby great front desk staff upgraded room gave access balconyterrace room huge sitting room large size bedroom fabulous bathroom husband picky travellers pay attention details complimentary drinks tickets champagne delivered anniversary special letter fine touches fresh flowers water chocolates evening turn nice decor quality room furniture loved bed bathroom definitely stay great location great bellman gave guests access computers private area lobby extremely attentive guests love,1
check faster simple perfect location,1
complaints staff friendly helpful excellent location recommended car park worth extra money,1
breakfast bit overpriced spacy room friendly staff price,1
room clean mold grouting shower bed side tables moved forward lots dust shepherd bush tube station gig bush hall walk room decorated size bed comfy,1
bathroom clean expected danger zone fell split floor bathroom bathroom floor cleaned cleaned properly fell hurt footcaught split floor lucky worst fall fell hurt breakfast included stay unaware prior,0
staff rude particularly desk internet expensive 6 24hr told exceptionally found worst internet 5 weeks travelling location walking back night pleasant area town recommend return hotels city,0
shower horrible water coming pool supposed heated cold friendly staff breakfast parking free,0
area pretty shady staff helpful including oscar,1
decor updating room view poor choice meal restaurant central location,0
smell mould price valet arking staff excellent chino lation amazing,0
noice hall changing water shower nice friendly staff location breakfat parking room surprise upgrade,1
negative pearl staff,1
friendly staff location,0
food prices value money breakfast price ridiculous b room large,1
room hot small bed narrow tall soft mattress updating great location,0
negative staffs nice communication great location,1
wifi room nt work properly shower modernized breakfast buffet welcome concierge service nice fitness pool area,1
uncomfortable bed availability bathroom,0
walk shower pretty tiny location perfect staff warm friendly accommodating rooms lovely surprises delivered daily staff high tea treat lobby bar upscale lively definitely favorite uk property,1
breakfast needed complimentary nice hotels cost offer breakfast nice room,0
negative staff helpful handy trains underground,1
negative fantastic location quiet restaurants close metro comfortable spacious room super clean nice bed sitting area convenient fridge microwave,1
poor breakfast book booking cancel policy paying desk money pre autorisation final payment careful location location location,1
spa dis organised low quality service value money view extra expensive room view basically sold room shows image view check view offered 80 100 top night room view,0
negative comfortable accommodation food tasty varied wifi building free,1
disappointed make mention wife birthday specifically emailed make 30th birthday trip special recognising significance trip london positive,1
reception check busy understaffed trainee left check slow made small errors lovely art deco style great central location great heathrow express minute walk away bedrooms nice bed fantastically comfortable food comment case mini bar prices extortionate,1
ive arrived ny late evening hostel reception heard course valid confirmed reservation free rooms situation wild countries ny middle civilisation reception told responsible situation today impossible solve problem find easy returned west side day gave back money expensive room gave discount nights west side simple word sorry days times reception desk problem avoid hostel,0
undergoing renovations currently noisy day spacious room friendly helpful staff delicious breakfast welcome drink bar courtyard pleasant helpful instructions find travelled train malpensa hour seamless speak italian supermarket opposite great area restaurants half hour walk duomo,1
comfortable full noisy location,0
negative friendly courteous staff,1
negative great location comfortable rooms helpful friendly staff,1
coffee tea making facilities room wonderful lounge area,1
beautiful excellent location staff helpful friendly,1
room small booked deluxe room expect standard room extras dressing gown slippers poor value money booked special occasion disappointed location,0
negative position enjoyed short stay,1
complain super friendly,1
standard double twin room low budget room small smelly room clogged bath tub outdated furniture dirty carpet photos provided website correspond actual state room location yard oriented room quiet,0
reception staff different solutions problem speak english expensive parking 15 night clients international tv channels wi connect free hours stay matter nights rooms include maps tourists information guide city cleaning service responsive prompt room spacious bed big confy nice view front fountains,1
room ready waited 3 hours ready room smelled smoking smelled disgusting wifi sucks kicking tub sink clogged staff accommodating attitude location lot hotels,0
noise great,1
shower bathroom noy workingno positive,0
negative situated outwith central amsterdam easily accessible tram closer vondel park museum areas particularly attractive parts city modern top class facilities,1
staff helpful specially concierge side place complete renovation stayed times past standard location,0
room bathroom tired complete makeover positive,0
priced expect suite cost 430 night room noisy music pumping early hours flashing fire light flashing night bedroom taps bathroom fitted correctly staying positive,0
rooms nicely finished small side comfortable reception fab wifi free reception area charged rooms great local bar remember full boxing pictures,1
bar evening staff told spend 25 person terrace large booths wanted spent 800 restaurant champagne brunch amazing stayed facilities room exceptional,1
hated fact lot construction noise 8 20am friday saturday appreciate happen week disappointed annoyed awoken weekend due room extremely overpriced bedroom facilities general,0
booked twin room error asked upgrade young helpful brother arrived evening upgraded double ant fuss cost feel male member staff depth reported weeks quote apparent breakfast,0
business night amazed quality food restaurant vivaces items perfectly calamari fresh crunchy delicious cannoli amazing chef,1
food expensive eat night food amazing bed unbelievably comfy view amazing staff friendly tram 13 city,1
rooms away elevators long corridors fed walking long corridors,0
difficulties house keeping restock minibar daily found meant charged additional drinks consume unfortunately staff cleaning room speak english supervisors explanation problem floor room spacious ideally located room dining highly recommended food quality priced great easy meal day sight bar great family friendly,1
worst worst stayed ended leaving staying arrived sign front desk manager return momentarily minutes waiting literally finally arrives starts yelling impatient long wait minutes helped starts cursing telling leave asked money back called cops life treated unprofessional horrific stay,0
facelift attentive service efficient concierge,1
fault stay lovely room perfect location needed gym street morning grab bus rd work clean comfortable wifi work super friendly check room service staff,1
room cold despite small electric radiator added bathroom sounded diesel generator switch heating airconditioning noisey jet engine switched water cold bath shower staff friendly helpful location great mayfair hyde park reasonable price,0
great location great facilities clean staff helpful,1
negative excellent value money room service dinner excellent,1
transparent wall bathroom bedroom bathroom positive,1
location walking distance bus stop underground waterloo brigde overlooking london attractio covent garden walking distance facilities standard big bed,1
staff attentive friendly obsequious,1
room 102 small pokey room book disappointed available clean modern,0
restaurant open stay busy food choices consisted 5 choices food bar confess readymeals cost 17euros small selection expensive superior room tiny tbh naff posess call room superior cross price pay queen size bed singles pushed single quilts pleasant staff stylish reception lounge bar,0
dinner room night arrival nice ordered breakfast room morning arrived wifi usable bottled water rooms bed soft comfortable,0
hauskeepink knocking ing room,1
half construction rooms unfortunately room midnight bathroom lock suddenly broken open 2a called guest service 2 guys open 30minutes nightmare rest stay breakfast stuff helpfull rooms clean positive,0
product bathroom price opinion bit high room fitting room spa breakfast great reception nice warmly welcomed,0
fridge mini bar working reported times kettle working expensive priced breakfast road half price poor room service expensive room rate room stayed place cheaper price downstairs lobby toilet filthy toilet paper floor photos bed,0
price breakfast selection junior suite room spacious clean comfortable location ideal,1
room booked staff lovely,0
fantastic respects breakfast early morning staff helpful book room fine needed excellent value money highly recommended,1
staff extremely rude late showed water cold brought dirty utinsles stay location amazing,0
gritty urban realism experience york place thrills tenement houseno heat water paperthin walls greasy overcooked food smells coming community kitchens doors questionable locks creaky ancient elevator barely room nonresponsive management sullen belligerant bullying worst cable tv basement washcloth bring make credit card charged check kennel tremendous favor book room days road blocks dump rate circle experience scale strongly stay,0
room bed smelling walls carpet dirty bed uncomfortable price worth pay baby coat 10euros free pay recommend localisation,0
negative value london walking distance activities clean professional staff helpful,1
poor room service staff reception pleasant disappointed welcome guys smile client speak english room service worst changing bed putting dirty pillows service london emplacement quartier,0
parking reserved specially requested baby crib ready specially requested pay retrieving phone fell lift shaft part high chair unavailable baby restaurant location comfortable bed clean,0
room dated basic cost location friendly staff,0
room bigger staff friendly atmosphere cosy bed comfortable definitely,1
room service night terrible staff provide glass water ice told find ice dispenser lifts reception staff breakfast staff helpful great location arena,0
breakfast price expensive bed comfortable lots space room,1
negative helpful friendly staff,1
negative night stay central station,0
room bit smallno positive,1
power morning power bathroom price location quiet room,1
breakfast selection sweaty plastic cheese disgusting bread pastries cheap variety expect 4 star property 3 star room lovely modern beds comfy perfect location access monmartre abbesses,1
small room friendly staff,1
staff friendly helpful style position,1
restaurant expensive hip hammock room great bed shower train station,1
lighting low room small bed cean bathroom,0
great hostamazing location spotless houseit lovely experience overallsuper convenient check check,1
room small breakfast limited choice room place work desk missing chair missing bed clean room friendly,0
wifi day breakfast severy dissapointed include spanish food underwhelming compared price days started eaiting nearby bakery compared room price offer facilities pool gym neighbourhood subway close room properly maintained everyday,1
cleanlees room size room relaxing area,1
inside room comfortable happen hear sound staffs helpfull speak english fluenly,1
car park charge 50 aware signs charge exists pay reception staff unhelpful made clearer websirte entering carpark return positive,0
view amazing room clean,0
negative interior design,1
refrigerator unlocked request remote delivered room wifi inconsistent clean decorated accommodating breakfast delicious,1
photos website misleading room looked massive website fairly standard reality photos showed pool spa pool projection pool projector located ceiling projecting rippling water floor hugely disappointing location absolutely stunning decor funky classy loved lot space areas encouraged chill feel central london relaxing,1
requested room views room limited view pillows flat staff breakfast pleasant send back room table available internet connection proximity centre town vienna pleasant,0
,0
housekeeping carts hall minimal common space design style room functionality natural light,1
additional charge breakfast high paying 250 room unique boutique friendly helpful staff location,1
comment location,1
,1
overpriced paid upgraded larger room tiny bathroom miniscule credited back upgrade cost 17 00 glass wine pint 19 00 pp breakfast taxi tube fares meant worth paying staying zone 1 previous visit visiting theatres expect 30 taxis standard special rooms tiny,0
rooms extremely cold heaters rooms front building noise trams students leaving local club excessive situated walking distance,0
call scam pictures reflecting actual rooms pictures expect brand modern boutique style accommodation 20 25 year rooms friendly staff breakfast,0
bathroom small burned leg towel heater room small room bed armchair awkward move luggage racks room outlaws restaurant,0
unfortunately room adjacent looked building site fault aware staff extremely friendly helpful plenty choice breakfast fresh,1
nice compact lots lovely restaurants sights,1
completly unexpected 150 deposit top payment room completly ruined holiday spemding money left booking website asked double room single beds pushed 2 single duvets felt sleeping rocks couples easy tram city center,0
home restaurant manager forgot absolutely fantastic complimented wonderful food variety service called head chef talk fellow south africa absolute gent lovely highly recommended,1
room big move absolutely space lay luggage open kettle provided request brought requesf cup cofee tea room hairdryer difficult press hard button operate irs heavy location cleanliness nice atmosphere,0
negative loved breakfast bags evening give paper bag hang hook morning find yogurt banana juice waiting great perk,1
worst receptionist explicitly asked trains airport running pretended looked system assured trusted arrived train station told weekend due planned works tracks trains running scrambled make airport cost extra money barely made flight simply lied find unacceptable location superb subway nice area cafes restaurants rooms size,1
big rooms easy traveling center,1
connecting room soundproofing inadequate meant easily hear couple staff equipped gym,1
room keys totally beautiful,1
