text,label
No Negative A very comfortable bed clean room and a very good breakfast The best hotel I ve ever stayed in Paris for a decent price ,1
 Bath could have been cleaner Loose boiler room door in room was shabby 260  Fluffy towels and sumptuous sheets Room had view of mews which was very quiet ,1
No Negative Friendly staff Excellent breakfast Metro very close Clean ,1
 everything else bed,0
Very very clean big rooms & comfy beds. The property seemed full but very quiet. Excellent friendly & helpful staff. Very nice indoor pool. Restaurant very hand and good. Bar very nice also. Will definitely stay again!!!!,1
 Our room seemed to have some electrical problems likely due to all of the fun decorations features that they added to the room For example the multitude of light switches for the bathroom seemed to have a different function each time they were used sometimes the lights would not even come on the jets for the bath tub did not work and the switch to raise and lower the television from the footboard of the bed did not work properly it would raise but not lower However this is not that different than one would expect from driving a French made car  The staff was very friendly responsive and provided a helpful concierge service The hotel was well decorated we enjoyed the champagne theme and very clean The location was excellent with close proximity to metro transit restaurants and tourist sites ,1
"Recently stayed for - nights and it was heavenly!!! Great Lobby, great front desk staff; upgraded our room from -th to --th and it gave us access to a balcony-terrace! The room was huge with a sitting room and a large size bedroom with a fabulous bathroom. My husband and I are very picky travellers and we pay attention to the details. Two complimentary drinks tickets, and Champagne delivered for our Anniversary, with a special letter! Very fine touches, of fresh flowers, water and chocolates for an evening turn down. Really nice decor and quality of room furniture. WE LOVED the bed, and the bathroom the most!
We would definitely stay here again! Great location, great bellman, and even gave guests access to - computers in a private area off the lobby! Extremely attentive to the guests needs! Love it!!!",1
 check in out could be faster simple perfect location,1
 no complaints Staff were friendly and helpful Excellent location Recommended car park was well worth the extra money ,1
 breakfast a bit overpriced spacy room friendly staff price,1
 The room was mostly clean but there was some mold in the grouting in the shower and one of the bed side tables had been moved forward and there was lots of dust behind it  It was right next to Shepherd s bush tube station I was going to a gig at Bush Hall and I was able to walk there The room was well decorated of a good size and the bed was comfy ,1
 Bathroom not quite as clean as expected Danger zone where I fell on split floor tile in bathroom Bathroom floor hadn t been cleaned or hadn t been cleaned properly Fell and hurt myself when My Footcaught on split tile on floor Lucky I didn t have worst fall than what I did Fell and hurt myself there  Didn t have breakfast included in stay Was unaware of this prior ,0
 Staff were rude particularly the man at the desk Internet was expensive at 6 24hr and after being told that it was exceptionally good we found that it was amongst the worst internet in 5 weeks of travelling the location of the hotel is not good when walking back at night not a pleasant area of town We won t recommend or return or use at of their other hotels in any other city  Not much,0
 The shower was horrible almost no water coming out The pool supposed to be heated but it was very very cold  friendly staff good breakfast parking outside free ,0
 Area is pretty shady  Staff was very helpful including Oscar ,1
 Decor in need of updating Room had no view Poor choice of meal in restaurant  Central location ,0
 Smell mould the price of Valet arking Staff excellent Chino lation s amazing as always,0
 A little noice in the hall Changing water when you take your shower  Nice and friendly staff Location Breakfat Parking Room The surprise Upgrade ,1
No Negative Pearl and her staff,1
 Non friendly staff Location,0
 Food prices not value for money Breakfast price ridiculous B d was very good and room was large,1
 the room was very hot and small the bed was narrow for two people and we are not tall and very soft the mattress needs updating great location,0
No Negative Staffs are nice and communication is good Great location ,1
 Wifi in the room did nt work properly Shower should be modernized Breakfast buffet would be welcome  Good Concierge Service Nice Fitness pool area ,1
 Uncomfortable bed Old Availability Bathroom,0
 The walk in shower was pretty tiny  The location is perfect the staff warm friendly and accommodating The rooms are lovely with little surprises delivered daily by the staff High tea is a treat and the lobby bar is upscale and lively This is definitely my favorite UK property ,1
 Breakfast needed to be complimentary Other nice hotels cost less and offer breakfast  Really nice room,0
No Negative Staff very helpful Handy for trains and underground ,1
No Negative Fantastic location Quiet good restaurants close to the metro Comfortable and spacious room Super clean Nice bed and sitting area Convenient fridge and microwave ,1
 Very poor breakfast If you book through booking with cancel policy when paying at the desk they take money twice first pre autorisation than final payment Be careful  Location location location,1
 The spa really dis organised and low quality service and certainly not value for money  The view is good but extra expensive to have a room with a view Your basically sold a room that shows an image of a good view Then when you check in you clearly don t have a view and are offered 80 100 on top per night for a room with a view,0
No Negative Good and comfortable accommodation The food is tasty and varied The hotel has wifi in the whole building it s free ,1
 I was disappointed that the hotel didn t make any mention of my wife s birthday after I have specifically emailed them to ask if they could make her 30th birthday trip more special by recognising the significance of the trip to London No Positive,1
 Reception check in was very busy and understaffed and a trainee was left to check me in on her own but she was a little slow and made a few small errors  Lovely Art Deco style hotel Great central location Also great for Heathrow express as it s three minute walk away Bedrooms are really nice and the bed was fantastically comfortable Didn t have food so can t comment As is often the case mini bar prices are extortionate,1
"I've arrived in NY i late evening. In hostel reception I heard that of course I have valid confirmed reservation, but they don't have free rooms ?!? I haven't got such serious situation in much more wild countries. But this is NY - the middle of civilisation ?!
Man in reception told me, that there is nobody responsible for that situation, and today it is impossible to solve the problem, so I should take myself and find any hotel as soon as I can (it wasn't easy). I returned to West Side Inn next day, they gave me back money for more expensive room in other hotel and gave me also little discount for next nights in West Side Inn. No simple word like """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""sorry"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""". Next days I saw many times people on reception desk with the same problem. So I think - avoid this hostel.",0
 Undergoing renovations currently so was noisy during the day  Spacious room friendly helpful staff delicious breakfast and welcome drink in the bar courtyard very pleasant Best of all were the helpful instructions to find the hotel We travelled by train from Malpensa which took about an hour and was seamless we don t speak any Italian Supermarket opposite hotel Great area for restaurants and about a half hour walk to Duomo ,1
 not so comfortable full noisy Liked the location,0
No Negative Friendly courteous staff,1
No Negative Great location comfortable rooms helpful friendly staff ,1
 no coffee or tea making facilities in room  wonderful lounge area,1
 Nothing  Beautiful hotel in an excellent location and the staff we very helpful and friendly ,1
 The room very small booked deluxe room but it was like what I would expect of a standard room Usually get extras such as dressing gown and slippers Very poor value for money as this was booked for a special occasion very disappointed The location,0
No Negative This hotel was in a very good position and I enjoyed my short stay ,1
 Can t complain about anything Everything Most of all it was super friendly,1
 Standard Double or Twin Room is like a low budget hotel room small and smelly room clogged bath tub outdated furniture dirty carpet The photos provided on the website don t correspond to the actual state of the room  The location is the only thing which was good about this hotel Inner yard oriented room so it was quiet ,0
 The reception staff had different solutions for one problem Only few of them speak english Expensive parking 15 night for hotel clients No international tv channels and wi fi does not connect but it s free for two hours during your stay no matter the nights The rooms do not include maps for tourists or any other information guide about the city  We liked the cleaning service They were very responsive and prompt The room is spacious the bed is big and confy A very nice view to the front fountains ,1
 our room was not ready waited for 3 hours and when it was ready the room smelled like someone was smoking it in it smelled disgusting wifi sucks it keeps kicking us off tub and sink clogged staff not accommodating attitude so so  location though there are a lot more hotels near by which we should have gone for ,0
 Noise Everything was great,1
 shower in the bathroom noy workingNo Positive,0
No Negative We liked that the hotel was situated outwith central Amsterdam yet easily accessible by tram it is closer to the Vondel Park and museum areas which are particularly attractive parts of the city The hotel is modern with top class facilities ,1
 Staff were not helpful specially on the concierge side the place needs complete renovation I stayed in this hotel many times in the past and hotel standard was good but I don t think will do it again  Location,0
 Room and bathroom very tired looking need a complete makeover No Positive,0
 Over priced Not what I d expect from a suite that cost 430 for one night Room was noisy could here music pumping into the early hours Flashing fire light kept flashing all night in bedroom Taps in bathroom were not fitted correctly Not be staying there again No Positive,0
"Rooms very nicely finished, little on the small side but very comfortable. Reception is fab. Wifi free if in the reception area, charged for the rooms. Great local bar across the way, can't remember the name but full of boxing pictures.",1
 We went to the bar in the evening The staff told us we had to spend 25 per person to go to the terrace and also would not let us sit in the large booths that we wanted to That was after we spent 800 in the restaurant The champagne brunch was amazing We stayed over too and the facilities in the room were exceptional,1
 Hated the fact that there was a lot of construction noise from 8 20am on both Friday and Saturday I appreciate that this would happen in the week but was very disappointed and annoyed to be awoken on the weekend Due to this I thought the room was extremely overpriced  The bedroom facilities and hotel in general ,0
 Booked a twin room in error asked to upgrade the young man was not very helpful My brother arrived the evening before me and was upgraded to a double without ant fuss or cost I feel that the male member of staff was out if his depth Reported to only been there two weeks and it was quote apparent Breakfast very good,0
"The hotel is a good business hotel for a night or two, but I was amazed at the quality of the food in the restaurant. Vivace's items came out done perfectly. The calamari was fresh, crunchy and delicious. The cannoli were amazing!
Very good chef.",1
 The food was quite expensive so we did not eat here until our last night But in saying that the food was amazing  The bed was unbelievably comfy The view we had was amazing the staff were friendly and the tram 13 into the city was right outside the hotel ,1
 Most of the rooms are too far away from the elevators Long corridors fed up with walking  Everything except the long corridors are good ,0
 We had difficulties with house keeping They didnt restock the minibar daily which as we found out later meant we were charged for additional drinks we didn t consume Unfortunately the staff cleaning the room didn t speak English and as per the supervisors explanation this was a problem across the floor  The room was very spacious and the hotel ideally located In room dining highly recommended The food was quality and well priced great for a easy meal after a day of sight seeing The bar was great and family friendly ,1
"THIS WAS THE WORST HOTEL I HAVE EVER BEEN TO. I can't even say that it is the worst hotel that I have ever stayed at, because we ended up leaving and staying somewhere else! When we arrived, there was a sign outside the front desk saying """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""manager will return momentarily"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""". After -- minutes of waiting, literally, a man finally arrives and starts yelling at us for being impatient! We ask what has taken so long and why we had to wait -- minutes to be helped and he starts cursing at us and telling us we had to leave. When we asked for our money back, he called the cops on us!!!! I have never in my life been treated in such an unprofessional and horrific way. Whatever you do, do NOT stay at this hotel.",0
 Hotel could do with a facelift throughout Attentive service very efficient concierge,1
 Can t fault this stay  Lovely room in the perfect location for me as I needed to be at the gym across the street the next morning Then grab a bus on the same rd to my work Clean and comfortable with good wifi to get some work done and super friendly check in and room service staff ,1
 Room was cold despite a small electric radiator that had been added Fan in bathroom sounded like a diesel generator and you couldn t switch it off Tried heating airconditioning but that was also very noisey like a jet engine so switched off Water was cold for bath and shower Staff were friendly and helpful Location is great for Mayfair Hyde Park and a reasonable price ,0
 Nothing Great location great facilities and very clean staff very helpful,1
No Negative Excellent value for money Room service dinner excellent ,1
 Transparent wall between bathroom and bedroom Bathroom didn t have a door No Positive,1
 None  The location Walking distance to everything Near bus stop underground waterloo brigde overlooking the london attractio and covent garden is walking distance only Facilities is standard Big bed ,1
 Nothing Staff attentive and friendly without being obsequious,1
 Room 102 is very small and pokey room Don t book this one Disappointed that we were given this when others were available  Very clean and modern ,0
 Restaurant did not open for our stay although hotel was busy Food choices consisted of 5 choices of food in the bar which i must confess were more like readymeals but cost around 17euros each If you have a very small selection at least do them well Had a rather expensive superior room which was tiny and tbh naff Nothing would posess me to call this room superior and im still cross about the price we had to pay for it As the queen size bed was two singles pushed together with two single quilts  Pleasant staff stylish reception lounge and bar ,0
 Dinner in room on night of my arrival was not nice Ordered breakfast in my room for following morning It never arrived Wifi was not usable No bottled water in rooms Bed soft but comfortable,0
 hauskeepink not knocking wenn cam ing into room  Yes,1
 Half of the hotel is under construction so some rooms are new some is old And unfortunately our room is the old one In the midnight bathroom door lock suddenly got broken and didn t open it was around 2a m we called the guest service then 2 guys came and try to open the door during 30minutes like a nightmare But rest of the stay was good breakfast was very good stuff are helpfull and rooms are very clean No Positive,0
 There was not any product in the bathroom the price is in my opinion a bit high for the room and there was no fitting room or SPA  The breakfast was really great People at the reception were nice and had warmly welcomed us ,0
 fridge or mini bar not working reported many times kettle not working very expensive priced breakfast can get across the road for half the price poor room service very expensive room rate for this room we could have stayed in a better place at cheaper price the downstairs lobby toilet was filthy with toilet paper all over the floor as per photos  THE BED WAS OK,0
 Price of the breakfast and selection not good Junior suite room was spacious clean and comfortable location was ideal,1
 I didn t get the room I booked The hotel and staff were lovely,0
 Can t think of anything  Fantastic in all respects breakfast too even early in the morning Staff helpful Would book again Room fine all we needed Excellent value for money Highly recommended ,1
 The staff was extremely rude always late sometimes they never showed up Water was cold and they even brought me dirty utinsles I will never ever ever stay in his hotel again  The location is amazing ,0
"If you want the true Gritty Urban Realism experience in New York, then this is the place for you. All the thrills of a tenement house--no heat, no water, paper-thin walls, greasy overcooked food smells coming from the community kitchens, doors with questionable locks, a creaky ancient elevator with barely room for two, and non-responsive management that is sullen at best, belligerant and bullying at worst. Want cable tv? Go to the basement. Want a washcloth? Bring your own. Make sure your credit card isn't charged until you check out. Hotel it is not. I wouldn't even kennel my dog here. Do yourself a tremendous favor and book a room at the Days Inn down the road (about - blocks). This dump doesn't even rate one circle on the experience scale. I can't say this strongly enough: DON'T STAY HERE.",0
 the room was very bed smelling the walls and carpet was dirty the bed was very uncomfortable for that price it is not worth we had to pay for baby coat 10euros what normally is for free when you pay so much I would not recommend that hotel at all  localisation,0
No Negative Good value for London Within walking distance of many activities and very clean Professional staff were very helpful ,1
 Poor room service staff reception should be much more pleasant disappointed of their welcome guys try to smile even if the client can t speak english well Room service worst one ever Changing bed and putting same dirty pillows Come on that s not a good service for london L emplacement le quartier,0
 no parking reserved even when specially requested no baby crib ready even when specially requested had to pay for retrieving the phone that fell in hotel s lift shaft part of hotel high chair unavailable for baby in the restaurant location comfortable bed clean,0
 Room was rather dated and basic for the cost  Location friendly staff,0
 I thought that the room was bigger I liked the staff they were really friendly and I also liked the atmosphere it was very cosy and the bed was very comfortable I will definitely come again ,1
 The room service at night was terrible staff couldn t even provide a glass of water with ice She told me to go and find the ice dispenser near the lifts  The reception staff and breakfast staff were really helpful And it was in great location of the se arena ,0
 Breakfast price too expensive  Bed really comfortable lots of space in the room,1
No Negative Helpful friendly staff,1
No Negative Ok for one night stay near central station,0
 Room a bit smallNo Positive,1
 No power in morning and no power in Bathroom Price and location and quiet room,1
 Breakfast selection was not very good sweaty plastic cheese is disgusting The bread was ok but the pastries were of the cheap variety I would expect much better from a 4 star property but I think it s really a 3 star The room was lovely very modern beds were very comfy Perfect location for access to monmartre and abbesses,1
 Small room Friendly Staff,1
 Staff not very friendly or helpful Style of hotel Position,1
 Restaurant a little expensive Hip hammock in room great bed and shower next to train station,1
 lighting was too low room was small the bed was cean the bathroom also,0
"Great host,amazing location and spotless house.<br/>It was a lovely experience overall<br/>Super convenient check in and check out",1
 Room too small breakfast limited choice In the room no place to do some work desk missing chair missing  good bed clean room friendly people,0
 Wifi was really bad The very first day we had breakfast We were severy dissapointed by it as it did not include anything spanish and as well as the food was underwhelming compared to the price From next days we started eaiting at a nearby bakery which was really good Compared to the room price it did not offer any facilities in the hotel such as pool or good gym  The neighbourhood was really quite and subway was really close Room was properly maintained everyday ,1
 The cleanlees of the room  The size of the room and the quite relaxing area,1
 Inside the room sometime are not comfortable when something happen outside because we can hear the sound  Hotel staffs are very helpfull and they speak English fluenly,1
 Car park charge of 50 which we were not aware of There are no signs to tell you that charge exists Or that you have to pay at reception Staff were very very unhelpful It needs to be made clearer on the websirte and before entering the carpark Would never have gone there Will not return No Positive,0
  The view is amazing and the room was clean,0
No Negative I like the interior design,1
 Having to get the refrigerator unlocked upon getting to the hotel as well as having to request the remote be delivered to the room Wifi also was inconsistent  Clean well decorated very accommodating Breakfast was delicious ,1
 I thought some of the photos on the website were misleading For example the room looked massive on the website but was fairly standard in reality Also the photos showed a pool in the spa but there isn t a pool there is a projection of a pool from a projector located in the ceiling projecting rippling water onto the floor Hugely disappointing  The location was absolutely stunning The decor within the hotel was funky and classy I loved it There is a lot of space in the main areas of the hotel and you are encouraged to sit and chill Doesn t feel like you re in central London at all very relaxing ,1
 I requested for a room with some views was given a room with very limited view The pillows are too flat The staff at breakfast not very pleasant they send you to the back of the room when there s not even a table available Bad internet connection  The proximity to the centre of town The people of Vienna are very pleasant ,0
 All Nothing,0
 Housekeeping carts always in hall Minimal common space Design and style Room functionality and natural light,1
 Additional charge for breakfast seemed high after paying 250 for the room Unique boutique hotel with very friendly and helpful staff Good location ,1
 No comment Location,1
 Nothing Everything,1
